departamento,municipio,cod_ine,confirmados,recuperados,decesos
Chuquisaca,Sucre,10101,23992,22238,1203
Chuquisaca,Yotala,10102,360,190,5
Chuquisaca,Poroma,10103,63,40,4
Chuquisaca,Azurduy,10201,192,171,1
Chuquisaca,Tarvita,10202,384,288,13
Chuquisaca,Zudañez,10301,333,302,3
Chuquisaca,Presto,10302,194,186,5
Chuquisaca,Mojocoya,10303,189,160,6
Chuquisaca,Villa Ricardo Mugia - Icla,10304,205,189,1
Chuquisaca,Padilla,10401,560,538,7
Chuquisaca,Tomina,10402,129,118,1
Chuquisaca,Sopachui,10403,195,186,5
Chuquisaca,Alcalá,10404,211,187,1
Chuquisaca,El Villar,10405,175,172,2
Chuquisaca,Monteagudo,10501,1885,1698,35
Chuquisaca,Huacareta,10502,369,288,2
Chuquisaca,Tarabuco,10601,156,136,7
Chuquisaca,Yamparáez,10602,221,204,5
Chuquisaca,Camargo,10701,1188,1066,28
Chuquisaca,San Lucas,10702,305,236,14
Chuquisaca,Incahuasi,10703,194,176,2
Chuquisaca,Villa Charcas,10704,103,88,6
Chuquisaca,Villa Serrano,10801,417,395,5
Chuquisaca,Villa Abecia,10901,216,189,1
Chuquisaca,Culpina,10902,320,235,18
Chuquisaca,Las Carreras,10903,118,117,1
Chuquisaca,Villa Vaca Guzmán,11001,690,570,4
Chuquisaca,Huacaya,11002,95,94,0
Chuquisaca,Macharetí,11003,432,392,2
La Paz,Nuestra Señora de La Paz,20101,68457,63431,1684
La Paz,Palca,20102,77,74,0
La Paz,Mecapaca,20103,148,129,6
La Paz,Achocalla,20104,516,440,8
La Paz,El Alto,20105,28547,25770,852
La Paz,Achacachi,20201,202,161,8
La Paz,Villa Ancoraimes,20202,17,7,0
La Paz,Huarina,20203,26,22,1
La Paz,Santiago de Huata,20204,10,8,1
La Paz,Huatajata,20205,47,31,0
La Paz,Chua Cocani,20206,6,4,0
La Paz,Corocoro,20301,33,32,1
La Paz,Caquiaviri,20302,12,8,1
La Paz,Calacoto,20303,10,10,0
La Paz,Comanche,20304,15,13,1
La Paz,Charaña,20305,43,38,0
La Paz,Waldo Ballivian,20306,6,6,0
La Paz,Nazacara de Pacajes,20307,3,3,0
La Paz,Santiago de Callapa,20308,1,1,0
La Paz,Puerto Acosta,20401,8,6,1
La Paz,Mocomoco,20402,4,2,0
La Paz,Puerto Mayor de Carabuco,20403,8,5,0
La Paz,Escoma,20405,24,19,1
La Paz,Chuma,20501,5,3,0
La Paz,Ayata,20502,3,3,0
La Paz,Aucapata,20503,1,1,0
La Paz,Sorata,20601,57,39,0
La Paz,Guanay,20602,91,88,2
La Paz,Tacacoma,20603,2,2,0
La Paz,Quiabaya,20604,1,0,0
La Paz,Combaya,20605,3,3,0
La Paz,Tipuani,20606,24,21,1
La Paz,Mapiri,20607,5,2,1
La Paz,Teoponte,20608,12,9,1
La Paz,Apolo,20701,217,102,3
La Paz,Pelechuco,20702,4,3,0
La Paz,Viacha,20801,2167,2012,42
La Paz,Puerto Mayor de Guaqui,20802,69,49,1
La Paz,Tiahuanacu,20803,52,49,1
La Paz,Desaguadero,20804,43,31,1
La Paz,La (Marka) San Andrés de Machaca,20805,3,3,0
La Paz,Jesús de Machaka,20806,27,26,0
La Paz,Taraco,20807,1,1,0
La Paz,Luribay,20901,14,13,0
La Paz,Sapahaqui,20902,10,10,0
La Paz,Yaco,20903,8,8,0
