departamento,municipio,cod_ine,confirmados,recuperados,decesos
Chuquisaca,Sucre,10101,3942,1024,332
Chuquisaca,Yotala,10102,56,27,1
Chuquisaca,Poroma,10103,10,6,0
Chuquisaca,Azurduy,10201,14,7,0
Chuquisaca,Tarvita,10202,14,7,0
Chuquisaca,Zudañez,10301,21,8,0
Chuquisaca,Presto,10302,11,10,0
Chuquisaca,Mojocoya,10303,14,3,1
Chuquisaca,Villa Ricardo Mugia - Icla,10304,12,11,0
Chuquisaca,Padilla,10401,16,15,0
Chuquisaca,Tomina,10402,18,14,0
Chuquisaca,Sopachui,10403,3,3,0
Chuquisaca,Alcalá,10404,10,9,0
Chuquisaca,El Villar,10405,2,1,0
Chuquisaca,Monteagudo,10501,76,51,0
Chuquisaca,Tarabuco,10601,22,9,1
Chuquisaca,Yamparáez,10602,30,17,0
Chuquisaca,Camargo,10701,57,23,1
Chuquisaca,San Lucas,10702,71,15,6
Chuquisaca,Incahuasi,10703,21,14,0
Chuquisaca,Villa Charcas,10704,21,4,0
Chuquisaca,Villa Serrano,10801,10,10,0
Chuquisaca,Villa Abecia,10901,4,3,0
Chuquisaca,Culpina,10902,31,21,2
Chuquisaca,Las Carreras,10903,8,8,0
Chuquisaca,Villa Vaca Guzmán,11001,38,25,0
Chuquisaca,Macharetí,11003,4,3,0
La Paz,Nuestra Señora de La Paz,20101,18965,1950,338
La Paz,Mecapaca,20103,18,0,1
La Paz,Achocalla,20104,45,12,2
La Paz,El Alto,20105,7708,1020,154
La Paz,Achacachi,20201,23,3,4
La Paz,Villa Ancoraimes,20202,3,1,0
La Paz,Huarina,20203,2,0,0
La Paz,Huatajata,20205,1,0,0
La Paz,Chua Cocani,20206,2,0,0
La Paz,Corocoro,20301,16,2,0
La Paz,Comanche,20304,2,0,0
La Paz,Charaña,20305,12,0,0
La Paz,Waldo Ballivian,20306,2,0,0
La Paz,Mocomoco,20402,2,0,0
La Paz,Puerto Mayor de Carabuco,20403,1,0,0
La Paz,Escoma,20405,4,0,1
La Paz,Chuma,20501,2,0,0
La Paz,Ayata,20502,2,0,0
La Paz,Sorata,20601,10,0,0
La Paz,Guanay,20602,12,1,0
