departamento,municipio,indice,riesgo,cod_ine
Chuquisaca,Sucre,0.898,ALTO,10101
Chuquisaca,Culpina,0.9317,MODERADO,10902
Chuquisaca,Yamparaez,0.9343,MODERADO,10602
Chuquisaca,Tarabuco,0.9383,MODERADO,10601
Chuquisaca,Villa Serrano,0.9388,MODERADO,10801
Chuquisaca,Las Carreras,0.9393,MODERADO,10903
Chuquisaca,Yotala,0.9394,MODERADO,10102
Chuquisaca,Icla,0.9396,MODERADO,10304
Chuquisaca,Tarvita,0.9403,MODERADO,10202
Chuquisaca,Padilla,0.9404,MODERADO,10401
Chuquisaca,San Lucas,0.9411,MODERADO,10702
Chuquisaca,Poroma,0.9412,MODERADO,10103
Chuquisaca,Villa Abecia,0.9416,MODERADO,10901
Chuquisaca,Sopachuy,0.9416,MODERADO,10403
Chuquisaca,Azurduy,0.942,MODERADO,10201
Chuquisaca,Mojocoya,0.9422,MODERADO,10303
Chuquisaca,Camargo,0.9424,MODERADO,10701
Chuquisaca,Tomina,0.9428,MODERADO,10402
Chuquisaca,El Villar,0.9429,MODERADO,10405
Chuquisaca,Huacareta,0.9431,MODERADO,10502
Chuquisaca,Muyupampa,0.9436,MODERADO,11001
Chuquisaca,Zudáñez,0.9442,MODERADO,10301
Chuquisaca,Monteagudo,0.9444,MODERADO,10501
Chuquisaca,Villa Alcalá,0.9446,MODERADO,10404
Chuquisaca,Presto,0.9449,MODERADO,10302
Chuquisaca,Macharetí,0.9455,MODERADO,11003
Chuquisaca,Huacaya,0.9462,MODERADO,11002
Chuquisaca,Villa Charcas,0.9475,MODERADO,10704
Chuquisaca,Incahuasi,0.9492,MODERADO,10703
La Paz,Cairoma,0.5221,ALTO,20905
La Paz,Patacamaya,0.5494,ALTO,21305
La Paz,La Paz,0.6686,ALTO,20101
La Paz,El Alto,0.6936,ALTO,20105
La Paz,Laja,0.6946,ALTO,21202
La Paz,Viacha,0.7074,ALTO,20801
La Paz,Malla,0.7319,ALTO,20904
La Paz,Copacabana,0.7426,ALTO,21701
La Paz,Achacachi,0.7564,ALTO,20201
La Paz,Chulumani,0.7585,ALTO,21101
La Paz,Pucarani,0.8551,ALTO,21201
La Paz,Mecapaca,0.8552,ALTO,20103
La Paz,Palca,0.8584,ALTO,20102
La Paz,Achocalla,0.86,ALTO,20104
La Paz,San Pedro de Tiquina,0.8938,ALTO,21702
La Paz,Caranavi,0.8955,ALTO,22001
La Paz,Santiago de Huata,0.897,ALTO,20204
La Paz,Taraco,0.8988,ALTO,20807
La Paz,Guaqui,0.8988,MEDIO,20802
La Paz,Huarina,0.8991,MEDIO,20203
La Paz,Escoma,0.8995,MEDIO,20405
La Paz,Puerto Acosta,0.9006,MEDIO,20401
La Paz,San Andrés de Machaca,0.9011,MEDIO,20805
La Paz,Santiago de Machaca,0.9014,MEDIO,21901
La Paz,Callapa,0.9016,MEDIO,20308
La Paz,Huatajata,0.9026,MEDIO,20205
La Paz,Calacoto,0.9036,MEDIO,20303
La Paz,Umala,0.9041,MEDIO,21302
La Paz,Puerto Pérez,0.9044,MEDIO,21204
La Paz,Chua Cocani,0.9052,MEDIO,20206
La Paz,Caquiaviri,0.9059,MEDIO,20302
La Paz,Ancoraimes,0.9061,MEDIO,20202
La Paz,Comanche,0.9066,MEDIO,20304
La Paz,Pto. Carabuco,0.9067,MEDIO,20403
La Paz,Mocomoco,0.9069,MEDIO,20402
La Paz,Jesús de Machaca,0.9086,MEDIO,20806
La Paz,Combaya,0.9092,MEDIO,20605
La Paz,Humanata,0.9097,MEDIO,20404
La Paz,Batallas,0.9102,MEDIO,21203
La Paz,Papel Pampa,0.9104,MEDIO,21802
La Paz,Corocoro,0.9112,MEDIO,20301
