municipio,confirmados
Genreal Saavedra,5
Tarija,3
Robore,5
Cliza,1
San Carlos,1
Concepcion,1
Uyuni,1
Eucaliptus,3
San Pedro,1
Capinota,0
Porongo (Ayacucho),1
Laja,1
Mineros,1
San Julián,1
El Torno,1
Malla,1
Chulumani,1
Santuario de Quillacas,3
Cochabamba,27
La Guardia,26
Patacamaya,20
Santa Rosa,16
Omereque,5
Colcapirhua,1
Chimore,1
Sacaba,2
Huanuni,13
Santibañez,12
Cairoma,12
Sucre,2
Oruro,46
Cobija,12
Punata,8
Vallegrande,8
Cotoca,7
El Alto,46
Potosi,22
Warnes,14
Quillacollo,14
Trinidad,38
Colcha K,3
Pailon,2
Moxos,1
Santa Cruz de la Sierra,295
Montero,104
La Paz,77
Copacabana,1
