municipio,confirmados,recuperados,decesos
SUCRE,758,18,43
YOTALA,6,0,1
TARVITA,5,0,0
ZUDAÑEZ,1,0,0
PRESTO,7,0,0
MOJOCOYA,3,0,0
ICLA,9,0,0
PADILLA,9,0,0
TOMINA,7,0,0
SOPACHUY,3,0,0
ALCALA,6,0,0
EL VILLAR,1,0,0
MONTEAGUDO,30,5,0
TARABUCO,2,0,0
YAMPARAEZ,12,0,0
CAMARGO,2,0,0
INCAHUASI,14,0,0
VILLA CHARCAS,4,0,0
VILLA SERRANO,7,0,0
CULPINA,16,1,0
LAS CARRERAS,1,0,0
VILLA VACA GUZMAN (MUYUPAMPA),14,4,0
LA PAZ,2296,204,39
MECAPACA,1,0,0
ACHOCALLA,12,0,0
EL ALTO,1191,135,29
ACHACACHI,6,1,3
CORO CORO,6,0,0
ESCOMA,2,0,0
AYATA,1,0,0
SORATA,2,0,0
GUANAY,1,0,0
MAPIRI,2,0,1
TEOPONTE,6,1,0
PELECHUCO,1,0,0
VIACHA,118,15,1
SAPAHAQUI,1,0,0
MALLA,1,1,0
CAIROMA,11,11,0
CAJUATA,2,1,1
COLQUIRI,52,1,5
ICHOCA,1,0,0
CHULUMANI (V. DE LA LIBERTAD),10,1,2
YANACACHI,3,0,0
PALOS BLANCOS,5,0,1
LA ASUNTA,1,0,1
PUCARANI,5,0,1
LAJA,6,0,2
BATALLAS,1,0,1
SICA SICA (VILLA AROMA),4,1,2
UMALA,14,3,2
PATACAMAYA,47,21,3
COROICO,8,0,0
CORIPATA,20,0,3
SAN BUENA VENTURA,8,0,0
COPACABANA,3,1,0
CARANAVI,23,3,1
ALTO BENI,1,0,1
COCHABAMBA,1988,42,132
PASORAPA,2,0,2
OMEREQUE,9,5,1
AYOPAYA (V. DE INDEPENDENCIA),1,0,0
TARATA,6,2,0
ARBIETO,7,0,1
ARANI,7,1,1
VACAS,2,0,0
ARQUE,1,0,0
CAPINOTA,16,0,1
SANTIVAÑES,25,12,1
SICAYA,1,0,0
CLIZA,4,1,0
TOCO,3,0,1
TOLATA,3,0,1
QUILLACOLLO,344,31,9
SIPE SIPE,70,45,4
TIQUIPAYA,82,1,4
VINTO,50,0,5
COLCAPIRHUA,60,1,4
SACABA,464,37,31
COLOMI,12,0,2
VILLA TUNARI,60,12,5
POJO (CBBA),1,0,0
