municipio,confirmados
Santa Cruz de la Sierra,628
Trinidad,210
La Paz,141
El Alto,71
La Guardia,58
Cochabamba,30
Warnes,27
Patacamaya,23
Huanuni,21
Quillacollo,18
Santa Rosa,16
Santibañez,12
Cobija,12
Cairoma,12
Punata,9
Eucaliptus,9
Cotoca,8
Vallegrande,8
Pailon,8
Tarija,5
Genreal Saavedra,5
Mairana,3
Portachuelo,3
Sacaba,3
Santuario de Quillacas,3
Colcha K,3
San Julián,3
Cabezas,2
Colcapirhua,2
Camiri,2
Buena Vista,1
San Carlos,1
Yacuiba,1
Malla,1
Laja,1
Guayaramerin,1
Cliza,1
Puerto Suarez,1
San Pedro,1
Copacabana,1
Samaipata,1
Achacachi,1
Viacha,1
Porongo (Ayacucho),1
Chulumani,1
Capinota,0
Montero,273
El Torno,13
Mineros,12
Robore,6
Sucre,6
Omereque,5
Concepcion,1
Chimore,1
Potosi,29
Uyuni,3
Vinto,1
Oruro,80
Moro Moro,1
Moxos,1
