municipio,confirmados,recuperados,decesos
SUCRE,1052,37,56
YOTALA,23,0,1
POROMA,3,0,0
TARVITA,7,0,0
ZUDAÑEZ,5,0,0
PRESTO,9,0,0
MOJOCOYA,3,1,0
ICLA,11,0,0
PADILLA,15,0,0
TOMINA,14,0,0
SOPACHUY,3,0,0
ALCALA,9,0,0
EL VILLAR,1,0,0
MONTEAGUDO,46,5,0
TARABUCO,5,1,0
YAMPARAEZ,17,0,0
CAMARGO,2,0,0
SAN LUCAS,5,0,1
INCAHUASI,14,0,0
VILLA CHARCAS,4,0,0
VILLA SERRANO,8,0,0
CAMATAQUI (C. VILLA ABECIA),2,0,0
CULPINA,18,3,0
LAS CARRERAS,1,0,0
VILLA VACA GUZMAN (MUYUPAMPA),18,4,0
MACHARETI,3,0,0
LA PAZ,3971,256,52
MECAPACA,8,0,0
ACHOCALLA,12,3,0
EL ALTO,1915,167,34
ACHACACHI,6,1,3
ANCORAIMES,2,0,0
CORO CORO,6,0,0
ESCOMA,3,0,0
CHUMA,1,0,0
AYATA,1,0,0
SORATA,2,0,0
GUANAY,1,0,0
MAPIRI,2,0,1
TEOPONTE,6,1,0
PELECHUCO,1,0,0
VIACHA,140,18,1
GUAQUI,1,0,0
SAPAHAQUI,1,0,0
MALLA,1,1,0
CAIROMA,11,11,0
CAJUATA,2,1,1
COLQUIRI,52,3,5
ICHOCA,1,0,0
CHULUMANI (V. DE LA LIBERTAD),14,1,3
IRUPANA (VILLA DE LANZA),5,0,3
YANACACHI,4,0,0
PALOS BLANCOS,10,0,2
LA ASUNTA,3,0,1
PUCARANI,9,0,1
LAJA,7,0,2
BATALLAS,3,0,2
SICA SICA (VILLA AROMA),7,1,2
UMALA,15,4,2
CALAMARCA,1,0,0
PATACAMAYA,55,24,5
COROICO,17,0,0
CORIPATA,23,0,3
SAN BUENA VENTURA,9,0,1
COPACABANA,3,1,0
CARANAVI,34,3,1
ALTO BENI,1,0,1
COCHABAMBA,2617,83,205
AIQUILE,6,0,0
OMEREQUE,8,5,1
AYOPAYA (V. DE INDEPENDENCIA),1,0,0
TARATA,7,3,1
ARBIETO,9,0,0
ARANI,7,1,2
VACAS,3,2,0
ARQUE,2,0,1
CAPINOTA,24,1,3
SANTIVAÑES,26,18,1
SICAYA,4,4,0
CLIZA,8,1,2
TOCO,3,0,1
TOLATA,4,0,1
QUILLACOLLO,375,44,19
SIPE SIPE,88,47,5
TIQUIPAYA,96,21,6
VINTO,72,1,7
COLCAPIRHUA,73,5,6
SACABA,499,78,35
COLOMI,14,0,2
VILLA TUNARI,80,19,6
TAPACARI,5,0,2
POJO (CBBA),1,0,0
CHIMORE,112,9,4
PUERTO VILLARROEL,319,17,18
ENTRE RIOS CBBA,327,55,21
MIZQUE,7,2,1
PUNATA,55,14,10
SAN BENITO,18,2,1
BOLIVAR,3,2,0
TIRAQUE (CBBA),1,0,0
SHINAOTA,140,12,4
ORURO,1290,169,73
CARACOLLO,12,0,3
SORACACHI,2,0,1
CHALLAPATA,38,2,3
SANTUARIO DE QUILLACAS,4,3,0
TURCO,1,0,0
HUACHACALLA,14,0,0
ESMERALDA,6,0,0
POOPO,2,0,1
ANTEQUERA,1,0,0
HUANUNI,284,46,19
MACHACAMARCA,5,0,1
SALINAS DE GARCI MENDOZA,4,0,0
SABAYA,4,0,0
COIPASA,1,0,0
EUCALIPTUS,24,11,3
SANTIAGO DE HUARI,4,0,3
CARANGAS,1,0,1
HUAYLLAMARCA,4,0,2
POTOSI,328,59,13
TINGUIPAYA,6,0,0
UNCIA,108,3,0
CHAYANTA,5,0,0
LLALLAGUA,307,10,11
CHUQUIHUTA AYLLU JUCUMANI,3,0,1
BETANZOS,8,0,1
COLQUECHACA,3,0,0
POCOATA,2,0,1
OCURI,3,0,0
TORO TORO,1,0,0
COTAGAITA,3,0,0
SACACA,2,0,2
ATOCHA,8,0,1
"COLCHA ""K""",12,6,0
PUNA,1,0,0
"CAIZA ""D""",11,0,1
UYUNI,21,4,1
TOMAVE,1,0,0
VILLAZON,25,0,0
TARIJA,948,22,29
PADCAYA,10,1,0
BERMEJO,36,0,1
YACUIBA,273,12,7
CARAPARI,41,0,0
VILLA MONTES,60,3,4
URIONDO (A. CONCEPCION),58,0,1
SAN LORENZO(TJA),47,1,1
EL PUENTE(TJA),11,0,0
ENTRE RIOS  TRJ,17,0,1
SANTA CRUZ,17254,11744,510
COTOCA,283,23,2
PORONGO,90,11,0
LA GUARDIA,657,84,7
EL TORNO,373,80,6
WARNES,395,56,10
OKINAWA UNO,69,32,5
SAN IGNACIO DE VELASCO,163,3,11
BUENA VISTA,38,2,0
SAN CARLOS,163,8,0
YAPACANI,426,9,0
SAN JUAN DE YAPACANI,130,0,0
SAN JOSÉ DE CHIQUITOS,162,0,9
PAILON,223,7,2
ROBORÉ,58,5,1
PORTACHUELO,203,3,4
SANTA ROSA DEL SARA,87,8,0
COLPA BÉLGICA,100,6,8
LAGUNILLAS,4,0,0
CABEZAS,27,3,0
CAMIRI,59,13,3
VALLE GRANDE,46,5,4
TRIGAL,8,0,0
MORO MORO,23,0,0
SAMAIPATA,17,1,0
PAMPA GRANDE,20,0,1
MAIRANA,46,16,2
MONTERO,2144,496,81
GRAL. SAAVEDRA,68,17,2
MINEROS,125,36,5
FERNÁNDEZ ALONSO,117,58,1
SAN PEDRO,261,44,1
CONCEPCIÓN,68,3,4
SAN JAVIER,55,7,3
SAN JULIÁN,97,4,8
CUATRO CAÑADAS,105,7,7
PUERTO SUAREZ,62,1,0
PUERTO QUIJARRO,159,0,0
SAN ANTONIO DE LOMERÍO,34,0,1
EL PUENTE (SCZ),10,1,0
COMARAPA,26,0,0
CHARAGUA,8,0,1
QUIRUSILLAS,1,0,0
ASCENCIÓN DE GUARAYOS,60,8,0
