municipio,confirmados,recuperados,decesos
SAN MATIAS,11,0,0
URUBICHÁ,17,0,0
GUTIERREZ,2,0,0
CARMEN RIVERO TóRREZ,20,0,0
SAN MIGUEL DE VELASCO,18,0,1
SAN RAFAEL,11,0,0
SAN RAMóN,22,0,0
TRINIDAD,3364,156,188
SAN JAVIER(BNI),14,0,0
RIBERALTA,388,11,38
GUAYARAMERIN,453,0,29
SAN BORJA,53,1,0
SANTA ROSA,1,0,0
RURRENABAQUE,20,0,1
SANTA ANA,102,0,0
EXALTACION,8,0,0
SAN IGNACIO,63,5,0
LORETO,52,0,1
SAN ANDRES,81,0,0
SAN JOAQUIN,129,0,4
SAN RAMON BENI,83,0,2
COBIJA,922,13,52
PORVENIR,32,0,1
BOLPEBRA,26,0,0
PUERTO RICO,5,0,1
FILADELFIA,16,1,1
PUERTO GONZALO MORENO,13,0,0
SAN LORENZO(PND),1,0,0
SENA,5,0,0
NACEBE (SANTA ROSA DEL ABUNA),5,0,1
BELLA FLOR,1,0,0
