municipio,confirmados,recuperados,decesos
Chimore,1,1,0
Cobija,12,6,1
Cochabamba,41,10,2
Colcapirhua,2,1,0
Concepcion,1,0,0
Copacabana,1,1,0
El Alto,111,10,8
La Paz,140,30,7
Montero,368,11,11
Omereque,5,4,0
Oruro,78,22,5
Patacamaya,27,3,1
Porongo (Ayacucho),2,1,0
Potosi,29,2,1
Robore,6,3,1
Sacaba,3,1,1
San Carlos,1,1,0
Santa Cruz de la Sierra,910,48,38
Santibañez,12,8,0
Sucre,13,1,1
Tarija,8,0,0
Vallegrande,8,4,0
Punata,9,0,1
Cairoma,11,1,0
Capinota,0,0,0
Quillacollo,20,0,1
Cliza,1,0,1
Huanuni,29,4,0
Laja,1,0,0
Eucaliptus,11,0,4
San Julián,3,0,0
Malla,1,0,0
Santuario de Quillacas,3,2,0
La Guardia,72,0,3
Cotoca,8,0,0
Warnes,32,0,1
Uyuni,3,0,0
Santa Rosa,16,0,0
San Pedro,9,0,0
Genreal Saavedra,8,0,0
Trinidad,309,0,23
Mineros,20,0,0
El Torno,27,0,0
Colcha K,3,0,0
Pailon,9,0,0
Mairana,5,0,1
Buena Vista,2,0,0
Portachuelo,10,0,0
Viacha,5,0,0
Camiri,3,0,0
Vinto,1,0,0
Guayaramerin,1,0,0
Achacachi,1,0,0
Cabezas,2,0,0
Yacuiba,1,0,1
Puerto Suarez,1,0,0
Chulumani,1,0,0
Samaipata,1,0,0
Moro Moro,2,0,0
Cuatro Cañadas,2,0,1
San Ignacio de Moxos,2,0,0
Culpina,1,0,0
Cajuata,1,0,0
Sica Sica,1,0,0
San Juan de Yapacaní,7,0,0
San Lorenzo,1,0,0
Colpa Bélgica,1,0,0
Fernández Alonzo,1,0,0
