municipio,confirmados,recuperados,decesos
Chimore,1,1,0
Cobija,12,6,1
Cochabamba,71,10,2
Colcapirhua,2,1,0
Concepcion,2,0,0
Copacabana,1,1,0
El Alto,126,10,8
La Paz,152,30,8
Montero,523,11,17
Omereque,5,4,0
Oruro,86,22,5
Patacamaya,27,3,2
Porongo (Ayacucho),3,1,0
Potosi,29,2,1
Robore,7,3,1
Sacaba,50,1,1
San Carlos,1,1,0
Santa Cruz de la Sierra,1501,48,55
Santibañez,12,8,0
Sucre,14,1,2
Tarija,11,0,0
Vallegrande,9,4,0
Punata,8,0,1
Cairoma,11,1,0
Capinota,0,0,0
Quillacollo,23,0,1
Cliza,2,0,1
Huanuni,33,4,0
Laja,1,0,0
Eucaliptus,11,0,4
San Julián,3,0,0
Malla,1,0,0
Santuario de Quillacas,3,2,0
La Guardia,101,0,3
Cotoca,11,0,0
Warnes,77,0,1
Uyuni,3,0,0
Santa Rosa,19,0,0
San Pedro,32,0,0
Genreal Saavedra,15,0,0
Trinidad,534,0,39
Mineros,29,0,0
El Torno,42,0,1
Colcha K,4,0,0
Pailon,10,0,0
Mairana,19,0,2
Buena Vista,5,0,0
Portachuelo,34,0,1
Viacha,5,0,0
Camiri,7,0,0
Vinto,2,0,1
Guayaramerin,5,0,0
Achacachi,1,0,0
Cabezas,3,0,0
Yacuiba,1,0,1
Puerto Suarez,1,0,0
Chulumani,1,0,0
Samaipata,2,0,0
Moro Moro,8,0,0
Cuatro Cañadas,3,0,1
San Ignacio de Moxos,2,0,0
Culpina,1,0,0
Cajuata,1,0,0
Sica Sica,2,0,1
San Juan de Yapacaní,7,0,0
San Lorenzo,1,0,0
Colpa Bélgica,14,0,1
Fernández Alonzo,23,0,1
Ayopaya (V. de Independencia),1,0,0
Umala,4,0,0
Tarata,1,0,0
Anrani,1,0,0
Vacas,1,0,0
Colomi,1,0,0
Villa Tunari,4,0,0
Puerto Villarroel,1,0,0
Entre Rios,1,0,0
San Benito,7,0,1
Yapacaní,6,0,0
Monteagudo,1,0,0
Sipe Sipe,18,0,1
Tiquipaya,2,0,0
Okinawa Uno,1,0,0
San Andres,10,0,0
