municipio,confirmados,recuperados,decesos
Chimore,32,1,1
Cobija,46,11,2
Cochabamba,377,23,12
Colcapirhua,8,0,0
Concepcion,5,0,0
Copacabana,2,1,0
El Alto,264,84,16
La Paz,324,144,13
Montero,1115,320,38
Omereque,5,5,0
Oruro,180,50,13
Patacamaya,31,18,2
Porongo (Ayacucho),38,1,0
Potosi,75,22,2
Robore,7,5,1
Sacaba,176,1,5
San Carlos,21,1,0
Santa Cruz de la Sierra,5765,961,150
Santibañez,14,12,1
Sucre,27,12,2
Tarija,32,9,1
Vallegrande,12,4,0
Punata,21,5,1
Cairoma,11,11,0
Capinota,2,0,1
Quillacollo,100,15,4
Cliza,2,1,1
Huanuni,55,16,5
Laja,1,0,0
Eucaliptus,18,6,3
San Julián,17,2,0
Malla,1,1,0
Santuario de Quillacas,3,2,0
La Guardia,288,21,5
Cotoca,59,3,2
Warnes,161,2,2
Uyuni,3,3,0
Santa Rosa,27,5,0
San Pedro,143,13,0
Genreal Saavedra,34,10,0
Trinidad,2186,16,108
Mineros,77,26,4
El Torno,140,19,1
Colcha K,6,3,0
Pailon,51,0,1
Mairana,27,1,2
Buena Vista,15,1,0
Portachuelo,144,0,2
Viacha,59,2,0
Camiri,27,9,0
Vinto,16,0,1
Guayaramerin,115,0,7
Achacachi,3,1,1
Cabezas,20,2,0
Yacuiba,17,0,1
Puerto Suarez,6,0,0
Chulumani,1,1,0
Samaipata,8,0,0
Moro Moro,21,0,0
Cuatro Cañadas,25,0,1
San Ignacio de Moxos,6,0,0
Culpina,1,1,0
Cajuata,1,1,0
Sica Sica,2,1,1
San Juan de Yapacaní,24,0,0
San Lorenzo,1,1,0
Colpa Bélgica,51,0,2
Fernández Alonzo,73,0,1
Ayopaya (V. de Independencia),1,0,0
Umala,12,2,2
Tarata,2,0,0
Arani,3,0,0
Vacas,2,0,0
Colomi,4,0,2
Villa Tunari,27,0,0
Puerto Villarroel,45,0,3
Entre Rios,110,0,16
San Benito,8,0,1
Yapacaní,67,0,0
Monteagudo,7,1,0
Sipe Sipe,21,0,1
Tiquipaya,8,0,0
Okinawa Uno,8,0,0
San Andres,34,0,0
Icla,1,0,0
Caranavi,3,2,0
Shinaota,34,0,1
San José de Chiquitos,38,0,1
Lagunillas,4,0,0
Asención de Guarayos,15,0,0
Riberalta,49,0,0
San Borja,1,0,0
Santa Ana,5,0,0
San Ramon,54,0,2
Colquiri,6,0,0
Tolata,1,0,1
Achocalla,10,0,0
Bolivar,1,0,0
Uncía,2,0,0
Llallagua,85,3,2
Padcaya,1,0,0
Caraparí,2,0,0
Villamontes,5,0,2
San Ignacio de Velazco,6,0,0
San Antonio de Lomerío,6,0,0
Quirusillas,1,0,0
Pampa Grande,6,0,1
San Matias,3,0,0
Yotala,1,0,0
Muyupampa,2,0,0
Sorata,1,0,0
Guanay,1,0,0
Teoponte,1,0,0
Palos Blancos,1,0,0
La Asunta,1,0,0
Toco,1,0,0
Mizque,1,0,0
Puerto Quijarro,1,0,0
Exaltación,3,0,0
Loreto,1,0,0
San Joaquin,18,0,1
Filadelfia,1,0,0
Coripata,1,0,0
