municipio,confirmados,recuperados,decesos
Chimore,6,1,0
Cobija,12,6,1
Cochabamba,97,15,3
Colcapirhua,2,0,0
Concepcion,2,0,0
Copacabana,1,1,0
El Alto,146,69,10
La Paz,179,98,9
Montero,681,29,24
Omereque,5,0,0
Oruro,92,46,6
Patacamaya,27,16,2
Porongo (Ayacucho),9,1,0
Potosi,29,14,1
Robore,7,3,1
Sacaba,60,1,2
San Carlos,2,1,0
Santa Cruz de la Sierra,2427,130,76
Santibañez,12,0,0
Sucre,17,11,2
Tarija,15,5,1
Vallegrande,9,4,0
Punata,13,5,1
Cairoma,11,0,0
Capinota,0,0,0
Quillacollo,26,15,2
Cliza,2,1,1
Huanuni,39,16,3
Laja,1,0,0
Eucaliptus,11,6,4
San Julián,4,0,0
Malla,1,0,0
Santuario de Quillacas,3,2,0
La Guardia,159,8,4
Cotoca,22,0,1
Warnes,97,0,1
Uyuni,3,0,0
Santa Rosa,21,0,0
San Pedro,55,1,0
Genreal Saavedra,23,0,0
Trinidad,1046,4,65
Mineros,38,0,0
El Torno,69,1,1
Colcha K,4,0,0
Pailon,19,0,1
Mairana,25,1,2
Buena Vista,12,0,0
Portachuelo,85,0,1
Viacha,5,3,0
Camiri,7,0,0
Vinto,7,0,1
Guayaramerin,29,0,1
Achacachi,1,0,0
Cabezas,8,0,0
Yacuiba,1,0,1
Puerto Suarez,3,0,0
Chulumani,1,0,0
Samaipata,2,0,0
Moro Moro,12,0,0
Cuatro Cañadas,8,0,1
San Ignacio de Moxos,4,0,0
Culpina,1,0,0
Cajuata,1,0,0
Sica Sica,2,1,1
San Juan de Yapacaní,8,0,0
San Lorenzo,1,1,0
Colpa Bélgica,23,0,2
Fernández Alonzo,31,0,1
Ayopaya (V. de Independencia),1,0,0
Umala,8,0,1
Tarata,2,0,0
Arani,2,0,0
Vacas,2,0,0
Colomi,1,0,1
Villa Tunari,16,0,0
Puerto Villarroel,4,0,0
Entre Rios,9,0,0
San Benito,8,0,1
Yapacaní,17,0,0
Monteagudo,2,0,0
Sipe Sipe,16,0,1
Tiquipaya,2,0,0
Okinawa Uno,2,0,0
San Andres,11,0,0
Icla,1,0,0
Caranavi,3,0,0
Shinaota,2,0,0
San José de Chiquitos,2,0,0
Lagunillas,4,0,0
Asención de Guarayos,1,0,0
Riberalta,4,0,0
San Borja,1,0,0
Santa Ana,1,0,0
San Ramon,1,0,1
