municipio,confirmados
Santa Cruz de la Sierra,565
Trinidad,210
La Paz,131
El Alto,71
La Guardia,51
Cochabamba,30
Patacamaya,23
Warnes,22
Huanuni,21
Quillacollo,18
Santa Rosa,16
Santibañez,12
Cairoma,12
Cobija,12
Punata,9
Eucaliptus,9
Pailon,8
Vallegrande,8
Cotoca,8
Genreal Saavedra,5
Colcha K,3
Sacaba,3
Santuario de Quillacas,3
Tarija,3
Portachuelo,3
Camiri,2
Chulumani,2
Cabezas,2
Colcapirhua,2
Guayaramerin,1
San Carlos,1
Puerto Suarez,1
Laja,1
San Pedro,1
Copacabana,1
Achacachi,1
Mairana,1
Viacha,1
Cliza,1
Malla,1
Yacuiba,1
Porongo (Ayacucho),1
Buena Vista,1
San Julián,1
Capinota,0
Montero,251
El Torno,13
Mineros,12
Robore,5
Sucre,5
Omereque,5
Concepcion,1
Chimore,1
Potosi,29
Uyuni,1
Vinto,1
Oruro,78
Moxos,1
