municipio,confirmados
Santa Cruz de la Sierra,515
Trinidad,210
La Paz,129
El Alto,71
La Guardia,47
Cochabamba,30
Patacamaya,23
Huanuni,21
Warnes,20
Quillacollo,18
Santa Rosa,16
Cobija,12
Cairoma,12
Santibañez,12
Punata,9
Eucaliptus,9
Pailon,8
Vallegrande,8
Cotoca,8
Genreal Saavedra,5
Santuario de Quillacas,3
Colcha K,3
Sacaba,3
Portachuelo,3
Tarija,3
Camiri,2
Copacabana,1
San Carlos,1
Achacachi,1
Laja,1
Mairana,1
Viacha,1
Porongo (Ayacucho),1
Guaramerin,1
Chulumani,1
Cliza,1
San Julián,1
Malla,1
Colcapirhua,1
Buena Vista,1
San Pedro,1
Capinota,0
Montero,239
El Torno,11
Mineros,10
Omereque,5
Robore,5
Sucre,4
Concepcion,1
Chimore,1
Potosi,22
Uyuni,1
Vinto,1
Oruro,78
Moxos,1
