municipio,confirmados,recuperados,decesos
SUCRE,1298,77,66
YOTALA,29,0,1
POROMA,7,0,0
AZURDUY,7,0,0
TARVITA,7,0,0
ZUDAÑEZ,9,0,0
PRESTO,10,0,0
MOJOCOYA,5,1,0
ICLA,11,2,0
PADILLA,15,1,0
TOMINA,14,0,0
SOPACHUY,3,0,0
ALCALA,9,1,0
EL VILLAR,1,0,0
MONTEAGUDO,46,5,0
TARABUCO,9,1,0
YAMPARAEZ,17,0,0
CAMARGO,7,0,0
SAN LUCAS,10,0,1
INCAHUASI,14,0,0
VILLA CHARCAS,4,0,0
VILLA SERRANO,9,0,0
CAMATAQUI (C. VILLA ABECIA),3,0,0
CULPINA,22,3,0
LAS CARRERAS,1,0,0
VILLA VACA GUZMAN (MUYUPAMPA),18,6,0
MACHARETI,3,0,0
LA PAZ,5796,415,71
MECAPACA,8,0,0
ACHOCALLA,14,3,0
EL ALTO,2560,225,44
ACHACACHI,10,1,3
ANCORAIMES,3,1,0
CORO CORO,6,0,0
ESCOMA,4,0,1
CHUMA,1,0,0
AYATA,1,0,0
SORATA,2,0,0
GUANAY,1,0,0
MAPIRI,2,0,1
TEOPONTE,6,1,0
PELECHUCO,1,0,0
VIACHA,174,27,1
GUAQUI,1,0,0
SAPAHAQUI,1,0,0
MALLA,5,1,0
CAIROMA,12,11,0
CAJUATA,2,1,1
COLQUIRI,53,10,5
ICHOCA,1,0,0
CHULUMANI (V. DE LA LIBERTAD),16,1,3
IRUPANA (VILLA DE LANZA),5,0,2
YANACACHI,9,1,0
PALOS BLANCOS,18,1,2
LA ASUNTA,4,0,1
PUCARANI,10,1,1
LAJA,7,0,2
BATALLAS,7,0,2
SICA SICA (VILLA AROMA),7,1,2
UMALA,15,6,2
CALAMARCA,1,0,0
PATACAMAYA,55,25,5
COLLANA,1,0,0
COROICO,19,0,0
CORIPATA,25,4,4
SAN BUENA VENTURA,9,0,1
COPACABANA,4,1,0
CARANAVI,45,5,1
ALTO BENI,1,0,1
COCHABAMBA,3499,412,267
AIQUILE,9,0,1
OMEREQUE,9,5,1
AYOPAYA (V. DE INDEPENDENCIA),2,0,0
TARATA,14,3,1
ANZALDO,2,0,0
ARBIETO,14,0,1
ARANI,9,1,2
VACAS,3,2,0
ARQUE,2,0,1
CAPINOTA,25,1,3
SANTIVAÑES,26,18,1
SICAYA,4,4,0
CLIZA,11,1,2
TOCO,3,0,1
TOLATA,7,1,1
QUILLACOLLO,458,68,22
SIPE SIPE,98,55,6
TIQUIPAYA,121,24,6
VINTO,102,25,9
COLCAPIRHUA,94,7,6
SACABA,554,135,43
COLOMI,17,0,3
VILLA TUNARI,89,30,6
TAPACARI,9,0,2
TOTORA(CBBA),3,0,0
POJO (CBBA),2,0,0
POCONA,1,0,0
CHIMORE,115,66,10
PUERTO VILLARROEL,367,68,24
ENTRE RIOS CBBA,355,80,31
