municipio,confirmados,recuperados,decesos
MIZQUE,8,5,1
VILA VILA,1,0,0
PUNATA,62,19,12
SAN BENITO,30,2,1
TACACHI,1,0,0
BOLIVAR,4,2,0
TIRAQUE (CBBA),2,1,0
SHINAOTA,145,25,4
ORURO,1700,256,95
CARACOLLO,12,0,7
SORACACHI,2,0,1
CHALLAPATA,51,3,3
SANTUARIO DE QUILLACAS,13,3,0
TURCO,1,0,0
HUACHACALLA,14,0,0
ESMERALDA,6,0,0
POOPO,2,0,1
ANTEQUERA,2,0,0
HUANUNI,317,64,25
MACHACAMARCA,5,3,1
SALINAS DE GARCI MENDOZA,7,0,0
SABAYA,6,1,0
COIPASA,1,0,0
TOLEDO,1,0,1
EUCALIPTUS,27,12,3
SANTIAGO DE HUARI,5,0,4
CARANGAS,1,0,1
HUAYLLAMARCA,4,0,2
POTOSI,415,73,15
TINGUIPAYA,6,0,0
UNCIA,118,3,0
CHAYANTA,5,0,0
LLALLAGUA,352,12,11
CHUQUIHUTA AYLLU JUCUMANI,8,0,1
BETANZOS,32,1,1
COLQUECHACA,9,0,0
POCOATA,8,0,1
OCURI,9,0,0
TORO TORO,1,0,0
COTAGAITA,3,0,0
VITICHI,3,0,0
SACACA,2,0,2
CARIPUYO,3,0,0
TUPIZA,1,0,0
ATOCHA,24,0,1
"COLCHA ""K""",20,8,0
PUNA,4,0,0
"CAIZA ""D""",11,0,1
UYUNI,26,4,3
TOMAVE,2,0,0
ACACIO,2,0,0
VILLAZON,32,0,0
SAN AGUSTIN,1,0,0
TARIJA,1498,62,45
PADCAYA,15,1,0
BERMEJO,72,0,1
YACUIBA,305,31,7
CARAPARI,59,9,0
VILLA MONTES,135,3,5
URIONDO (A. CONCEPCION),82,0,1
YUNCHARA,2,0,0
SAN LORENZO(TJA),88,1,1
EL PUENTE(TJA),29,0,1
ENTRE RIOS TRJ,62,0,1
SANTA CRUZ,20603,13429,594
COTOCA,374,32,2
PORONGO,102,14,0
LA GUARDIA,817,806,7
EL TORNO,482,108,6
WARNES,495,111,10
OKINAWA UNO,81,49,5
SAN IGNACIO DE VELASCO,212,3,22
BUENA VISTA,51,2,0
SAN CARLOS,169,8,0
YAPACANI,461,9,0
SAN JUAN DE YAPACANI,140,0,0
SAN JOSÉ DE CHIQUITOS,173,0,9
PAILON,268,7,2
ROBORÉ,109,5,1
PORTACHUELO,235,3,4
SANTA ROSA DEL SARA,126,8,0
COLPA BÉLGICA,121,6,8
LAGUNILLAS,4,0,0
CABEZAS,30,3,1
CAMIRI,71,13,3
VALLE GRANDE,53,25,4
TRIGAL,9,6,0
MORO MORO,23,20,0
SAMAIPATA,18,1,0
PAMPA GRANDE,23,0,1
MAIRANA,55,16,2
MONTERO,2593,577,81
GRAL. SAAVEDRA,70,25,2
MINEROS,134,39,5
FERNÁNDEZ ALONSO,154,58,1
SAN PEDRO,302,47,1
CONCEPCIÓN,80,3,4
SAN JAVIER,56,7,3
SAN JULIÁN,155,4,8
CUATRO CAÑADAS,127,7,7
PUERTO SUAREZ,69,1,0
PUERTO QUIJARRO,160,0,0
SAN ANTONIO DE LOMERÍO,34,0,1
EL PUENTE (SCZ),12,1,0
COMARAPA,47,0,0
CHARAGUA,8,0,1
QUIRUSILLAS,1,0,0
ASCENCIÓN DE GUARAYOS,61,8,0
SAN MATIAS,11,0,0
URUBICHA,21,10,0
GUTIERREZ,2,0,1
CARMEN RIVERO TORREZ,21,0,0
SAIPINA,3,0,0
SAN MIGUEL DE VELASCO,18,0,1
SAN RAFAEL,11,0,0
SAN RAMON,29,0,0
TRINIDAD,3507,183,191
SAN JAVIER(BNI),14,0,0
RIBERALTA,437,12,49
GUAYARAMERIN,459,0,29
SAN BORJA,65,1,1
SANTA ROSA,1,0,0
RURRENABAQUE,20,0,2
SANTA ANA,133,0,2
EXALTACION,8,0,0
SAN IGNACIO,73,6,0
LORETO,52,0,1
SAN ANDRES,87,0,0
SAN JOAQUIN,129,0,4
SAN RAMON BENI,83,0,2
COBIJA,1060,77,90
PORVENIR,35,0,1
BOLPEBRA,27,0,0
PUERTO RICO,5,0,1
FILADELFIA,19,1,1
PUERTO GONZALO MORENO,13,0,0
SAN LORENZO(PND),5,0,0
SENA,8,0,0
NACEBE (SANTA ROSA DEL ABUNA),5,0,1
BELLA FLOR,1,0,0
