municipio,confirmados,recuperados,decesos
SUCRE,1522,137,103
YOTALA,29,15,1
POROMA,7,0,0
AZURDUY,7,0,0
TARVITA,7,0,0
ZUDAÑEZ,9,1,0
PRESTO,10,8,0
MOJOCOYA,5,3,0
ICLA,11,11,0
PADILLA,15,1,0
TOMINA,14,6,0
SOPACHUY,3,0,0
ALCALA,9,5,0
EL VILLAR,1,1,0
MONTEAGUDO,47,40,0
TARABUCO,9,2,0
YAMPARAEZ,17,12,0
CAMARGO,9,1,0
SAN LUCAS,14,3,2
INCAHUASI,14,12,0
VILLA CHARCAS,4,4,0
VILLA SERRANO,9,3,0
CAMATAQUI (C. VILLA ABECIA),4,1,0
CULPINA,23,3,2
LAS CARRERAS,3,1,0
VILLA VACA GUZMAN (MUYUPAMPA),21,12,0
MACHARETI,3,0,0
LA PAZ,9038,535,102
MECAPACA,11,0,0
ACHOCALLA,23,5,0
EL ALTO,3639,284,73
ACHACACHI,13,1,3
ANCORAIMES,2,1,0
CHUA COCANI,1,0,0
SANTIAGO DE HUATA,1,0,0
CORO CORO,7,1,0
ESCOMA,4,0,1
CHUMA,1,0,0
AYATA,1,0,0
SORATA,3,0,0
GUANAY,1,0,0
MAPIRI,2,0,1
TEOPONTE,7,1,0
PELECHUCO,1,0,0
VIACHA,220,43,1
GUAQUI,1,0,0
TIAWANACU,2,0,0
SAPAHAQUI,3,0,0
MALLA,6,1,0
CAIROMA,16,11,0
INQUISIVI,1,0,0
QUIME,2,0,0
CAJUATA,2,1,1
COLQUIRI,55,11,5
ICHOCA,1,1,0
CHULUMANI (V. DE LA LIBERTAD),18,3,3
IRUPANA (VILLA DE LANZA),15,0,2
YANACACHI,9,1,0
PALOS BLANCOS,20,1,2
LA ASUNTA,4,0,1
PUCARANI,12,1,1
LAJA,9,0,2
BATALLAS,18,0,2
SICA SICA (VILLA AROMA),8,1,2
UMALA,15,6,2
CALAMARCA,1,0,0
PATACAMAYA,59,25,6
COLQUENCHA,1,0,0
COLLANA,1,0,0
COROICO,21,0,0
CORIPATA,26,5,4
SAN BUENA VENTURA,10,0,1
COPACABANA,5,1,0
CARANAVI,52,8,2
ALTO BENI,3,0,1
COCHABAMBA,4207,817,338
AIQUILE,17,0,1
OMEREQUE,14,5,1
AYOPAYA (V. DE INDEPENDENCIA),2,0,0
COCAPATA,2,0,0
TARATA,15,3,1
ANZALDO,3,0,0
ARBIETO,14,0,1
ARANI,10,1,2
