municipio,confirmados
Cobija,12
Warnes,3
Tarija,3
Robore,5
Eucaliptus,2
Cliza,1
Sacaba,2
San Carlos,1
Copacabana,1
Concepcion,1
Uyuni,1
Cotoca,4
Sucre,1
San Pedro,1
El Alto,40
La Guardia,12
Cairoma,11
Punata,8
Genreal Saavedra,4
Capinota,0
Potosi,18
Santibañez,12
Vallegrande,8
Cochabamba,26
Porongo (Ayacucho),1
Laja,1
Huanuni,6
Santa Cruz de la Sierra,181
San Julián,1
Oruro,34
Montero,67
Quillacollo,5
La Paz,60
Malla,1
Chulumani,1
Patacamaya,18
Santuario de Quillacas,3
Omereque,5
Colcapirhua,1
Chimore,1
Santa Rosa,1
