municipio,confirmados,recuperados,decesos
SUCRE,202,13,15
YOTALA,3,0,0
TARVITA,1,0,0
MOJOCOYA,3,0,0
ICLA,4,0,0
PADILLA,2,0,0
ALCALA,3,0,0
MONTEAGUDO,22,2,0
TARABUCO,1,0,0
YAMPARAEZ,1,0,0
VILLA SERRANO,1,0,0
CULPINA,4,1,0
VILLA VACA GUZMAN (MUYUPAMPA),6,0,0
LA PAZ,816,172,21
ACHOCALLA,10,0,0
EL ALTO,488,113,20
ACHACACHI,3,1,1
SORATA,1,0,0
GUANAY,1,0,0
TEOPONTE,4,0,0
PELECHUCO,1,0,0
VIACHA,77,4,0
MALLA,1,1,0
CAIROMA,11,11,0
CAJUATA,2,1,1
COLQUIRI,38,0,2
CHULUMANI (V. DE LA LIBERTAD),7,1,1
YANACACHI,1,0,0
PALOS BLANCOS,1,0,1
LA ASUNTA,1,0,1
LAJA,1,0,0
SICA SICA (VILLA AROMA),2,1,1
UMALA,14,3,2
PATACAMAYA,38,21,2
COROICO,2,0,0
CORIPATA,9,0,1
COPACABANA,3,1,0
CARANAVI,13,2,0
COCHABAMBA,1135,30,38
OMEREQUE,5,5,0
AYOPAYA (V. DE INDEPENDENCIA),1,0,0
MOROCHATA,5,5,0
TARATA,2,2,0
ARBIETO,1,0,0
ARANI,3,1,0
VACAS,3,0,0
CAPINOTA,3,0,1
SANTIVAÑES,20,12,1
SICAYA,1,0,0
CLIZA,5,1,2
TOCO,2,0,0
TOLATA,2,0,1
QUILLACOLLO,181,15,6
SIPE SIPE,44,5,2
TIQUIPAYA,29,0,0
VINTO,25,0,1
COLCAPIRHUA,21,0,1
SACABA,306,11,13
COLOMI,8,0,1
VILLA TUNARI,34,0,1
CHIMORE,53,1,3
PUERTO VILLARROEL,133,0,8
ENTRE RIOS CBBA,206,0,18
MIZQUE,1,0,0
PUNATA,41,6,2
SAN BENITO,10,0,1
BOLIVAR,1,0,0
SHINAOTA,79,0,1
ORURO,338,62,22
CHALLAPATA,6,0,0
SANTUARIO DE QUILLACAS,3,3,0
TURCO,1,0,0
HUANUNI,98,24,11
SABAYA,4,0,0
EUCALIPTUS,19,7,3
POTOSI,170,26,7
UNCIA,57,0,0
LLALLAGUA,173,3,6
"COLCHA ""K""",6,3,0
UYUNI,5,3,1
VILLAZON,13,0,0
TARIJA,123,12,4
PADCAYA,1,0,0
YACUIBA,80,2,1
CARAPARI,10,0,0
VILLA MONTES,20,1,3
SAN LORENZO(TJA),3,1,0
ENTRE RIOS  TRJ,2,0,0
SANTA CRUZ,10171,3885,244
COTOCA,105,3,2
PORONGO,54,1,0
LA GUARDIA,396,21,7
EL TORNO,205,19,1
WARNES,214,2,6
OKINAWA UNO,15,0,2
SAN IGNACIO DE VELASCO,76,0,0
BUENA VISTA,23,1,0
SAN CARLOS,50,1,0
YAPACANI,143,0,0
SAN JUAN DE YAPACANI,26,0,0
SAN JOSÉ DE CHIQUITOS,80,0,1
PAILON,96,0,1
ROBORÉ,16,5,1
PORTACHUELO,146,0,2
SANTA ROSA DEL SARA,59,5,0
COLPA BÉLGICA,72,0,2
LAGUNILLAS,4,0,0
CABEZAS,20,2,0
CAMIRI,32,13,1
VALLE GRANDE,19,4,0
TRIGAL,2,0,0
MORO MORO,23,0,0
SAMAIPATA,8,0,0
PAMPA GRANDE,10,0,1
MAIRANA,35,1,2
MONTERO,1454,367,42
GRAL. SAAVEDRA,44,10,0
MINEROS,98,26,4
FERNÁNDEZ ALONSO,76,46,1
SAN PEDRO,168,13,0
CONCEPCIÓN,11,0,0
SAN JAVIER,10,0,0
SAN JULIÁN,41,2,0
CUATRO CAÑADAS,43,0,1
PUERTO SUAREZ,12,0,0
PUERTO QUIJARRO,26,0,0
SAN ANTONIO DE LOMERÍO,23,0,0
COMARAPA,6,0,0
CHARAGUA,4,0,1
QUIRUSILLAS,1,0,0
ASCENCIÓN DE GUARAYOS,39,0,0
SAN MATIAS,3,0,0
URUBICHÁ,4,0,0
CARMEN RIVERO TóRREZ,2,0,0
TRINIDAD,2753,52,143
RIBERALTA,247,2,10
GUAYARAMERIN,308,0,20
SAN BORJA,12,1,0
RURRENABAQUE,1,0,0
SANTA ANA,7,0,0
EXALTACION,5,0,0
SAN IGNACIO,9,1,0
LORETO,40,0,1
SAN ANDRES,65,0,0
SAN JOAQUIN,80,0,2
SAN RAMON BENI,54,0,2
COBIJA,431,13,12
PORVENIR,22,0,0
BOLPEBRA,11,0,0
FILADELFIA,11,1,0
PUERTO GONZALO MORENO,1,0,0
