municipio,confirmados,recuperados,decesos
Chimore,15,1,1
Cobija,14,7,1
Cochabamba,195,20,4
Colcapirhua,6,0,0
Concepcion,4,0,0
Copacabana,1,1,0
El Alto,187,80,12
La Paz,208,125,11
Montero,992,53,26
Omereque,5,5,0
Oruro,120,49,7
Patacamaya,27,18,2
Porongo (Ayacucho),27,1,0
Potosi,32,22,2
Robore,7,5,1
Sacaba,103,1,5
San Carlos,10,1,0
Santa Cruz de la Sierra,4188,259,102
Santibañez,12,12,0
Sucre,19,12,2
Tarija,24,6,1
Vallegrande,10,4,0
Punata,18,5,1
Cairoma,11,11,0
Capinota,1,0,0
Quillacollo,52,15,2
Cliza,2,1,1
Huanuni,49,16,4
Laja,1,0,0
Eucaliptus,18,6,3
San Julián,12,2,0
Malla,1,0,0
Santuario de Quillacas,3,2,0
La Guardia,262,19,5
Cotoca,51,3,1
Warnes,137,2,2
Uyuni,3,3,0
Santa Rosa,25,5,0
San Pedro,131,1,0
Genreal Saavedra,34,0,0
Trinidad,1551,8,84
Mineros,71,0,0
El Torno,119,12,1
Colcha K,4,3,0
Pailon,35,0,1
Mairana,27,1,2
Buena Vista,14,0,0
Portachuelo,132,0,2
Viacha,19,3,0
Camiri,16,7,0
Vinto,11,0,1
Guayaramerin,115,0,4
Achacachi,1,1,0
Cabezas,15,2,0
Yacuiba,1,0,1
Puerto Suarez,4,0,0
Chulumani,1,0,0
Samaipata,4,0,0
Moro Moro,19,0,0
Cuatro Cañadas,15,0,1
San Ignacio de Moxos,5,0,0
Culpina,1,0,0
Cajuata,1,1,0
Sica Sica,2,1,1
San Juan de Yapacaní,10,0,0
San Lorenzo,1,1,0
Colpa Bélgica,38,0,2
Fernández Alonzo,49,0,1
Ayopaya (V. de Independencia),1,0,0
Umala,10,0,1
Tarata,2,0,0
Arani,3,0,0
Vacas,2,0,0
Colomi,3,0,1
Villa Tunari,19,0,0
Puerto Villarroel,20,0,1
Entre Rios,39,0,4
San Benito,8,0,1
Yapacaní,34,0,0
Monteagudo,4,0,0
Sipe Sipe,17,0,1
Tiquipaya,5,0,0
Okinawa Uno,8,0,0
San Andres,14,0,0
Icla,1,0,0
Caranavi,3,0,0
Shinaota,15,0,0
San José de Chiquitos,16,0,1
Lagunillas,4,0,0
Asención de Guarayos,9,0,0
Riberalta,17,0,0
San Borja,1,0,0
Santa Ana,3,0,0
San Ramon,1,0,1
Colquiri,2,0,0
Tolata,1,0,0
Achocalla,3,0,0
Bolivar,1,0,0
Uncía,1,0,0
Llallagua,8,0,0
Padcaya,1,0,0
Caraparí,1,0,0
Villamontes,4,0,1
San Ignacio de Velazco,2,0,0
San Antonio de Lomerío,2,0,0
Quirusillas,1,0,0
Pampa Grande,5,0,1
San Matias,3,0,0
